,value,sentiment,tweet
119,0.0,Neutral,happi year anniversari jujutsu kaisen thank akutamisensei creat masterpiec 
120,0.13636363636363635,Neutral,im simp happi new year voic 
121,-0.05,Neutral,long know make happi doesnt matter see daddysgurlmain bdaybuka 
122,0.5,Positive,met wonho bc work didnt even assum wa bia ask wa said hed tell amp see get note told wa got happi amp kept say thank amp said thank love pl stick me+ 
123,0.0,Neutral,wish veri happi birthday sir 
124,0.0,Neutral,happi launch b2b todayon step help farmer directli 
125,0.0,Neutral,happi birthday bro 
126,0.0,Neutral,happi birthday bria 
127,0.5,Positive,noth better celebr blue dot happi birthday cheer 
128,0.0,Neutral,whi trippin bro id happi see brad prof get min 
129,0.0,Neutral,happi birthdayyyi wyatb 
130,-0.14583333333333334,Neutral,grow older mean grow wiser stay happi focu energi toward build futur 
131,0.0,Neutral,happi birthday 
132,0.0,Neutral,happi birthday famili 
133,0.0,Neutral,happi birthday kakk 
134,0.0,Neutral,wish veri happi birthday god bless 
135,-0.5,Negative,happi fake inaugur day 
136,-1.0,Negative,im incred happi glad found someon amp left crap behind absolut never late 
137,0.7,Positive,happi birthday shri hochouhanshivraj ji chief minist madhya pradesh may continu work welfar peopl develop state loyalti dedic wish good health longev god 
138,0.0,Neutral,reveng porn set becom illeg nationwid happi women histori month 
139,0.09999999999999998,Neutral,cisish woman read noell comic went sweet im happi went day yeah doubt fake 
140,0.0,Neutral,send back home comfort happi npr sure sing hymnal sad 
141,2.185714285714286,Positive,kenti realli cant stop love make laugh smile blush cri happi whole world kenti thank alway right next amp may far away kenti love alway 
142,1.5,Positive,mama someon feel hurt child experi hardship feel happiest child happi one keep pray best lot love 
143,1.0,Positive,happi fifth anniversari though year sinc last saw nick judi amp citizen presenc continu gener excit much well get zootopia+ great film thank amp 
144,0.3,Positive,method ha taught million peopl pujya guru sant dr singh ji insan ha attain posit spiritu peac health success life ha happi life 
145,1.0,Positive,happi birthday michael wish best come year 
146,0.0,Neutral,happi birthday 
147,0.0,Neutral,dont wanna talk coz never felt like wa heard kasi start question anong pakialam nila shouldnt care shouldnt bother ask kse dont howwhat answer ive independ come emot dont need anyon make happi 
148,0.0,Neutral,happi sleep well dear friend 
149,1.5,Positive,happi birthday wish veri best love ksupport project also amaz subway ad packag check support idol 
150,-0.4,Negative,realli sad peopl outrag mr potato head mr georg floyd tell peopl dont support justic polic act think way life threaten becaus action concerningtoy amp children book 
151,-0.15292207792207796,Neutral,lot say thi scotti video right want say sad david sent hi like friend victim shame threaten seth dispos isnt name hi new app also feel hi friend 
152,-0.4,Negative,feel sad thi young man deserv 
153,-0.5,Negative,watch raya alr omg sad oneee end dia haih 
154,-0.5,Negative,whi thi au sad 
155,0.0,Neutral,ever get sad becaus parent deserv better thi life gave 
156,-0.5,Negative,im sad 
157,-0.5,Negative,im sad look hw happi taehyun stage 
158,-1.9666666666666668,Negative,harsh realiti peopl colour still rise regardless dont stop amanda keep alway funni low rank person ha nerv question like ignor bia apolog common still sad defi odd 
159,-1.6,Negative,bisexu sad jungkook wake cold sweat someth wrong 
160,-0.5,Negative,veri sad say sahib speak regular feder employe singl word go employe edu depart sit last day 
161,-0.5,Negative,hurt actual cant explain sad 
162,-0.2,Negative,day sad littl man peopl want suck fun absolut everyth 
163,-0.15000000000000002,Neutral,ye sad true 
164,-0.5,Negative,im sad send money 
165,-0.5,Negative,ive thi food truck thi sad 
166,-0.5,Negative,oh ym god thi sad 
167,-1.0,Negative,ill sad isnt 
168,0.8,Positive,35 yearold obsess realli great friend im sad ok onto cruis thi know father child 
169,-0.5,Negative,ive thi food truck thi sad 
170,-0.5,Negative,give hug sad 
171,-0.4,Negative,thank repli ive read histor campaign pg im realli happi almost none old charact fell except fli aasimar avernu sad differ campaign differ level rule 
172,-0.5,Negative,cant wait scientist admit human meant hibern dure winter whi sad whi unmotiv jig 
173,-0.5,Negative,boss veri sad 
174,-0.42500000000000004,Negative,zero episod like roswaal hi past wa somehow sad good bit thi discuss weak everyth confus 
175,0.09999999999999998,Neutral,whi watch thi kind movi alway alway watch sad end stori arghh geez come still god surpris 
176,-0.5,Negative,onli michel obama would pictur taken look sad hold hashtag islamist would bring back heartbeat like last time 
177,-0.5,Negative,ive thi food truck thi sad 
178,0.0,Neutral,excess enough 
179,-0.5,Negative,ive thi food truck thi sad 
180,-0.5,Negative,dont follow back thousand follow onli follow someth say get follow sad 
181,-0.5,Negative,ur sad rememb got7 never got perform ycmn ntbm breath last piec concert ur even sadder 
182,-0.5,Negative,saw someon sad tl want give thi ddint maek 
183,-0.5,Negative,ive thi food truck thi sad 
184,-0.5,Negative,o102020 sad day 
185,-1.3,Negative,care peopl much theyr sad ill im sad seem like one realli care 
186,0.10000000000000003,Neutral,sad could ever imagin thing would get crazi fast lib power believ would go sideway speed light 
187,-0.5,Negative,never anyth sad sunset wa led away 
188,-1.0,Negative,sy thi sad cant throw someon void anymor worst leav train station alon smth love take transit 
189,-0.55,Negative,dont know long thi war went pakistan thi war help allah thi war wa finish came know thi war creol peopl kill becam veri sad said whi wa thi war ever impos upon us muhammad qasim dream 
190,-0.6,Negative,mental unstabl day touch ar16 hous would sad day america 
191,-0.5,Negative,im sad strict mentor lisa 
192,-0.5,Negative,find sad fandom ha made filmmak preemptiv apolog tell stori set tell 
193,-0.5,Negative,ive thi food truck thi sad 
194,0.09999999999999998,Neutral,bro went crazi tonight sad wasnt abl stream lmao 
195,-0.5,Negative,kinda wanna watch lie april becaus know hella sad 
196,-1.0,Negative,hope peopl ralli behind trump republican see deceivedbrainwash myth real snap back realiti final listen real news fake fox101 thi sad see somego thi road biden presid 
197,-0.5,Negative,feel angri inhuman behaviour realli sad time said one mourner funer yearold angel also known kyal sin well fight dictatorship end must prevail 
198,-0.8,Negative,sad bore bit horni thi late night whi 
199,-0.1333333333333334,Neutral,gonna lie wa littl sad hasnt slow growth yet bend hold steadi alreadi got next node grow readi anoth top onli go mai st grow next go scrog tri main 
200,-1.5,Negative,sadli thi nation say pm keep repeat sad repeat everi speech sad nation fail learn lesson dont know khan get thi energi disappoint peopl prioriti screw 
201,-0.65,Negative,get sad stop sad awesom instead true stori 
202,-0.5,Negative,ive thi food truck thi sad 
203,-0.5,Negative,find sad fandom ha made filmmak preemptiv apolog tell stori set tell 
204,0.09999999999999998,Neutral,stop self debas use fun make fun sad 
205,-0.5,Negative,ive thi food truck thi sad 
206,-0.9,Negative,realli sad stori im wa youngster use deliv globe mail father wa young deliv globe empir day globe wa standard journal see becom noth scandal sheet sad 
207,-0.4,Negative,feel sad think abt 12 year old edtwt 
208,-0.5,Negative,sorri share sad news delight discontinu 
209,-0.5,Negative,thought kaminari head canon whenev sad someth use hi quirk forget 
210,-0.5,Negative,sad lul 
211,-0.44999999999999996,Negative,whoooa wa expect wa weird shit love wa sad reflect unsettl dark synth stab seem realli fit song went made sens wa journey id give proper avant gard 
212,-0.4,Negative,look thi becaus couldnt believ found thi articl chicago wild sad 
213,0.7,Positive,amp doesnt even make sens couldnt explain whi feel differ amp whi sudden anxieti im worri isnt good enough amp make sad becaus love noth make sens 
214,-0.5,Negative,remov sad part 
215,-0.5,Negative,alway wyd never let go car ride blast sad song 
216,-0.5,Negative,ive thi food truck thi sad 
217,-0.8,Negative,whi would get hate yea realli better leav bubbl altho im sad 
218,-0.5,Negative,ive thi food truck thi sad 
219,-0.125,Neutral,sad see amaz amm abus fee stay temporari rich 
220,-0.5,Negative,empti feel annoy becaus arent sad arent happi dont know fix 
221,-0.5,Negative,sad thing someon said cowherd said thi would believ 
222,-0.3,Negative,sad soojin angri peopl start thi disput happen like frustrat got away much damag hope sue 
223,-0.5,Negative,ive thi food truck thi sad 
224,-0.5,Negative,awi dont sad im gonna give huggi 
225,-0.5,Negative,yesss fam goal sad movi 
226,-0.5,Negative,find sad fandom ha made filmmak preemptiv apolog tell stori set tell 
227,-0.2142857142857143,Negative,million american pin needl right expect donald trump sworn presid today thi would funni wasnt freak sad 
228,-0.5,Negative,sad inde hand canada couldnt hold femal geolog contractor consult onli contractor employe snap larger entiti multin govern happi job 
229,-0.5,Negative,cat liter vminkook im sad 
230,-0.36363636363636365,Negative,happi th anniversari thi top tier collab sad song featur mgk ha sold copi uk million copi worldwid garner total stream despit promo sad never got live perform 
231,-1.0999999999999996,Negative,yall want gain weight bad gain lil fupa wa tryna warn yo ass sad want old bodi back caus cant lose 
232,-0.5,Negative,pinch mew cheeki whi cutest im sad 
233,0.0,Neutral,sehunlog forev love sad happi 
234,0.20000000000000007,Positive,sad movi surpass million view youtub congratul bright fhero 
235,0.2,Positive,sad becaus rememb dig seri kid becaus love origin much 
236,-1.3,Negative,never play metal gear everyth hear like th boss game six chao tiger defeat bazooka duel remov game disc amp mail dad return tiger sad fight cuz never knew hi father 
237,-0.5,Negative,ive thi food truck thi sad 
238,0.5,Positive,best quot day heard msnbc thi morn still deal jimmi jenni crow grandkid jim crow hilari sad time thi reaffirm racism taught 
239,-0.15000000000000002,Neutral,one time felix came hyunjin vlive wa shi bc hi bare face want tell hyunjin wa handsom also watch hi vlive time befor laugh tgtim sad preciou 
240,-0.15000000000000002,Neutral,one time felix came hyunjin vlive wa shi bc hi bare face want tell hyunjin wa handsom also watch hi vlive time befor laugh tgtim sad preciou 
241,-0.5,Negative,mew eye convey thousand emot youll know happi angri sad simpli look hi eye hope pain goe away soon sun rise 
242,-0.5,Negative,ive thi food truck thi sad 
243,-1.25,Negative,terribl sad million get noth root veri small portion celebr easi gain result cultism blind 
244,-0.5,Negative,koo sad vhope moment 
245,-0.7,Negative,sad otto didnt die event hed die would scream ding dong wick bitch dead 
246,1.5500000000000003,Positive,miseri kind lost love one fail examy privileg yet depress fine yet sadyou cant achiev goal cant fulfil dream miseri kind like see colour butterfli fli around yet 
247,-0.5,Negative,complet follow today karwa yaar sad emoji ali goni youth icon 
248,-0.5,Negative,realli sad percent nigerian women alway feel like men favor sex 
249,-0.5,Negative,wa onc cosmopolitan citi realli sad watch fall 
250,-1.5,Negative,evil exist onli spew neg sad 
251,-1.0,Negative,thi happi person sad soul feel weird sometim 
252,-0.5,Negative,onli way republican call themselv use veri sad 
253,-1.3,Negative,never play metal gear everyth hear like th boss game six chao tiger defeat bazooka duel remov game disc amp mail dad return tiger sad fight cuz never knew hi father 
254,-1.0,Negative,kleir spit sad sad fact 
255,-0.09999999999999998,Neutral,send sad song sound happi pleas 
256,0.36250000000000004,Positive,onli free partli free sad see map miss major part jampkampl 
257,1.0571428571428572,Positive,oh standard differ reason know africa special western show thier moral superior 
258,-0.5,Negative,jam sad movi 
259,-0.5,Negative,sad day jan 
260,0.20000000000000007,Positive,sad movi surpass million view youtub congratul bright fhero 
261,-0.5,Negative,ive thi food truck thi sad 
262,-0.09999999999999998,Neutral,link fam get sad eye arent chainlink know go 1000 eoy let gem like ersdl bnt equad nfi glow spot light respect pump fren make life chang gain 
263,-0.4,Negative,bring back qualiti manufactur sata frika thi factori product line dedic employ deaf peopl somewher kwa zulu natal sad realiti veri young peopl still want becom sew machinist 
264,-0.6666666666666666,Negative,want know never complain never explain doria meghan mother dignifi silenc rock daughter son law grandson white supremacist system black mom excellenceit sad beauti time 
265,0.0,Neutral,sad must better 
266,-0.5,Negative,us presid instil confid american citizen strike fear heart enemi howev thi guy instil confid america enemi strike fear heart citizen thi truli sad 
267,-0.4,Negative,sad sashisu want silli teen turn silli adult friend 
268,-0.5,Negative,known genuin student activist student concern regist sad taken crimin crimin ventur call academ freedom lifetim 
269,-0.5,Negative,imagin sad person must make burner twitch account ass peopl 
270,-0.5,Negative,man thi sad want c1 hu tao onli primo count like think 
271,-0.5,Negative,ive thi food truck thi sad 
272,-0.5,Negative,mood went sad second reason whi 
273,0.5,Positive,amount emot hun put realli make feel emo matter happi sad scene tear form eye hun realli deserv best top actor year award hun nomin ame thi year ill definit vote 
274,3.0,Positive,im switch love love love love love love dom girl 
275,-0.5,Negative,ive thi food truck thi sad 
276,1.1,Positive,win whi worri head clap didnt clap uve alreadi peopl didnt clap probabl sad yet win feel valid asf pl abeg biko ejor 
277,-0.5,Negative,even creativ fill mani peopl team sad 
278,-1.675,Negative,loser sad dumb idiot bitch boy 
279,-1.0,Negative,thi happi person sad soul feel weird sometim 
280,-0.5,Negative,yea sad 
281,-0.5,Negative,ur sad rememb got7 never got perform ycmn ntbm breath last piec concert ur even sadder 
282,-0.5,Negative,ive thi food truck thi sad 
283,-0.5,Negative,sad parent think know us realli dont 
284,-0.5,Negative,ive thi food truck thi sad 
285,-0.4,Negative,one young girl jump death year marriag dowri crore also could save singapor educ girl physic assault husband sad societi 
286,-0.5,Negative,ive thi food truck thi sad 
287,-1.5,Negative,hate sad thi shit suck 
288,-0.6,Negative,lester shum wife nicol yu spoke behalf activist famili say mental prepar bail refus still veri sad 
289,-0.5,Negative,feel angri inhuman behaviour realli sad time said one mourner funer yearold angel also known kyal sin well fight dictatorship end must prevail 
290,-0.5,Negative,sad parent think know us realli dont 
291,-0.5,Negative,ive thi food truck thi sad 
292,-0.5,Negative,dont sad becaus everyth yaudahlah mau gmn lagi 
293,0.19999999999999996,Neutral,yall sad onli way help yall make anoth list hi follow notic good idea want list 
294,-1.0,Negative,ive decid ill keep stream sad movi tpop stage day cours includ im work goal view 
295,-0.75,Negative,sad stori thi mate hope dont blame past 
296,-0.5,Negative,im still worri angri sad scare tiredbut awesom read hope get lot attent amp mayb turn peopl disobey activist 
297,1.7,Positive,matter much cri matter affect whether end sad happi abl deni aot greatest anim charact best charact histori anim thi masterpiec 
298,-0.8,Negative,everyon sell loverfest outfit mercari taylor swift tag hate love make sad im entertain 
299,0.19999999999999996,Neutral,im bit sad wont abl go birthday event good event 
